2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Created 14 chunks from 5232046.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232047.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Created 36 chunks from 5232047.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232048.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Created 26 chunks from 5232048.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232049.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Created 32 chunks from 5232049.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232050.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 42 chunks from 5232050.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232051.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5232051.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232052.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5232052.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232053.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 14 chunks from 5232053.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232054.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 36 chunks from 5232054.xlsx
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Processing: Household spending at current prices.csv
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_file | Created 2 chunks from Household spending at current prices.csv
2025-10-03 19:34:01 | INFO     | src.data.processors.tabular_processor:process_directory | Processed 1940 total chunks from directory
2025-10-03 19:34:01 | INFO     | src.data.database.vector_store:add_documents | Adding 1940 documents to vector store
2025-10-03 19:38:54 | INFO     | src.data.database.vector_store:add_documents | Successfully added 1940 documents
2025-10-03 19:38:54 | INFO     | src.data.database.vector_store:search | Searching for: 'my age is 20 my income is 25000 how much should i save for future?' (top_k=2)
2025-10-03 19:38:54 | INFO     | src.data.database.vector_store:search | Found 2 results
2025-10-03 19:38:54 | INFO     | src.models.llm:generate_response | Generating response with Ollama (mistral)...
2025-10-03 19:38:57 | ERROR    | src.models.llm:generate_response | Error generating response: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate
